#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,属性デッキコンボ,機能,,,,,,,,
#,（P9/E12文字）,（14文字）,,,,,,,,,,,,PvE,PvP,,,,一枚ごとの倍率上昇,発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,優先度,機能ID,
11100202,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100202,
11100211,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100211,
11100212,騎士解析#25,メンタルクラッシュ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100212,
#支援型アストラトエレイン_SR/UR/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100421,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100421,
11100422,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ<br>3ターン/魔法ダメージをダウン,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,44,40,RANK3,100,ENEMY_ONE,20,,,,,,,,11100422,
11100431,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100431,
11100432,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ<br>3ターン/魔法ダメージをダウン,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,44,40,RANK4,100,ENEMY_ONE,20,,,,,,,,11100432,
11100441,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100441,
11100442,悲恋華＝最終献身,トラジックハーツ,敵単体/物理/{1}の風ダメージ<br>3ターン/魔法ダメージをダウン,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,5,44,40,RANK5,100,ENEMY_ONE,20,,,,,,,,11100442,
#第二型ガヘリス_HN/R/SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100011,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100011,
11100012,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100012,
11100021,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100021,
11100022,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100022,
11100031,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100031,
11100032,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100032,
11100041,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100041,
11100042,審判剣＝魔女破滅,ジャッジメントウィッチ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100042,
#第二型グロマーソマージョア_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100221,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100221,
11100222,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100222,
11100231,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100231,
11100232,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100232,
11100241,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100241,
11100242,増強杖＝膂力乱撃,フィジカルスマッシュ,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100242,
#教練型ケイ_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100151,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100151,
11100152,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100152,
11100161,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100161,
11100162,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100162,
11100171,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100171,
11100172,疾風舞撃#32,ストームブラスト,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100172,
#特異型ナージェジタ_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100121,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100121,
11100122,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100122,
11100131,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100131,
11100132,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100132,
11100141,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100141,
11100142,騎兵銃＝悪路掃射,ダーティオープンファイア,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100142,
#第二型バグデマグス_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100051,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100051,
11100052,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100052,
11100061,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100061,
11100062,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100062,
11100071,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100071,
11100072,打撃剣＝敗者復活,ゲットオーバールーズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100072,
#第二型ビスクラヴレット_HN/R/SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100081,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100081,
11100082,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100082,
11100091,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100091,
11100092,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100092,
11100101,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100101,
11100102,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100102,
11100111,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100111,
11100112,圧壊槌＝装甲粉砕,ストロングハンマー,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100112,
#支援型ブランシュフルール_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100251,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100251,
11100252,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100252,
11100261,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100261,
11100262,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100262,
11100271,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100271,
11100272,術闇／領土粉砕,テリトリーサービス,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100272,
#虚無型エターナル・フレイム_UR/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100301,龍炎双掌＝紅蒼火焔,ブレイジングハンズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,5,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100301,
11100302,龍炎双掌＝紅蒼火焔,ブレイジングハンズ,敵全体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,5,42,42,RANK4,100,ENEMY_ALL,20,,,,,,,,11100302,
11100311,龍炎双掌＝紅蒼火焔,ブレイジングハンズ,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,5,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100311,
11100312,龍炎双掌＝紅蒼火焔,ブレイジングハンズ,敵全体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,5,42,42,RANK5,100,ENEMY_ALL,20,,,,,,,,11100312,
#制圧型パーシヴァル_UR/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100381,術風／貫穿峡谷,ドロップオブカリス,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100381,
11100382,術風／貫穿峡谷,ドロップオブカリス,敵単体/物理/{1}の風ダメージ<br>高確率でクリティカルが発生,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100382,
11100391,術風／貫穿峡谷,ドロップオブカリス,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100391,
11100392,術風／貫穿峡谷,ドロップオブカリス,敵単体/物理/{1}の風ダメージ<br>高確率でクリティカルが発生,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,4,43,43,RANK5,100,ENEMY_ONE,20,,,,,,,,11100392,
#蹴球型リトルグレイ_UR/MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100451,術風／蹴球採取,アブダクション,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100451,
11100452,術風／蹴球採取,アブダクション,敵単体/物理/{1}の風ダメージ<br>自分/2ターン/物理ダメージをアップ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,3,40,40,RANK4,100,ENEMY_ONE,20,,,,,,,,11100452,
11100461,術風／蹴球採取,アブダクション,敵単体/物理/{1}の風ダメージ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,3,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100461,
11100462,術風／蹴球採取,アブダクション,敵単体/物理/{1}の風ダメージ<br>自分/2ターン/物理ダメージをアップ,1,1,ATTACK,,,ATTACK,WIND,MERCENARY,PHYSICS,3,40,40,RANK5,100,ENEMY_ONE,20,,,,,,,,11100462,
#支援型オルウェン_SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100321,生死出題#11,ギャンブルクエスチョン,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100321,
11100322,生死出題#11,ギャンブルクエスチョン,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100322,
11100331,生死出題#11,ギャンブルクエスチョン,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100331,
11100332,生死出題#11,ギャンブルクエスチョン,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,4,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100332,
#複製型漁夫王_SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100361,神聖槍＝断裂突貫,ランスオブセイントブラッド,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100361,
11100362,神聖槍＝断裂突貫,ランスオブセイントブラッド,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100362,
11100371,神聖槍＝断裂突貫,ランスオブセイントブラッド,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100371,
11100372,神聖槍＝断裂突貫,ランスオブセイントブラッド,敵単体/物理/{1}の闇ダメージ,1,1,ATTACK,,,ATTACK,DARK,MERCENARY,PHYSICS,4,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11100372,
#第二型ローエングリン_R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100341,術光／悪性断裂,クリーンバッドラック,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,3,43,43,RANK1,100,ENEMY_ONE,20,,,,,,,,11100341,
11100342,術光／悪性断裂,クリーンバッドラック,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100342,
11100351,術光／悪性断裂,クリーンバッドラック,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,3,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11100351,
11100352,術光／悪性断裂,クリーンバッドラック,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,3,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11100352,
#聖罰型トール,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11103211,雹剣／天誅殺,ヘヴンズジャスティス,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,5,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11103211,
11103212,雹剣／天誅殺,ヘヴンズジャスティス,敵単体/物理/{1}の氷ダメージ<br>チェイン威力アップ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,5,43,43,RANK4,100,ENEMY_ONE,30,,,,,,,,11103212,
11103221,雹剣／天誅殺,ヘヴンズジャスティス,敵単体/物理/{1}の氷ダメージ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,5,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11103221,
11103222,雹剣／天誅殺,ヘヴンズジャスティス,敵単体/物理/{1}の氷ダメージ<br>チェイン威力アップ,1,1,ATTACK,,,ATTACK,ICE,MERCENARY,PHYSICS,5,43,43,RANK5,100,ENEMY_ONE,30,,,,,,,,11103222,
#断罪型ローエングリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11103231,魔剣／傾城傾国,ファムファタール,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11103231,
11103232,魔剣／傾城傾国,ファムファタール,敵単体/物理/{11}の光ダメージ<br>物理防御を{1}%無視,11,2,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11103232,
11103241,魔剣／傾城傾国,ファムファタール,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11103241,
11103242,魔剣／傾城傾国,ファムファタール,敵単体/物理/{11}の光ダメージ<br>物理防御を{1}%無視,11,2,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,2,43,43,RANK4,100,ENEMY_ONE,20,,,,,,,,11103242,
#愁月型チャノ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11103251,傘刀忍＝防諜連束,パーラレルラソルステル,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11103251,
11103252,傘刀忍＝防諜連束,パーラレルラソルステル,敵単体/物理/{1}の火ダメージ<br>自分/2ターン/物理ダメージをアップ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,40,40,RANK4,100,ENEMY_ONE,20,,,,,,,,11103252,
11103261,傘刀忍＝防諜連束,パーラレルラソルステル,敵単体/物理/{1}の火ダメージ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,43,43,RANK3,100,ENEMY_ONE,20,,,,,,,,11103261,
11103262,傘刀忍＝防諜連束,パーラレルラソルステル,敵単体/物理/{1}の火ダメージ<br>自分/2ターン/物理ダメージをアップ,1,1,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,4,40,40,RANK5,100,ENEMY_ONE,20,,,,,,,,11103262,
#賜恋型オランジェット,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11103271,太長剣＝貯古齢糖,ロングソードチョコレート,敵単体/物理/{1}の光ダメージ,1,1,ATTACK,,,ATTACK,LIGHT,MERCENARY,PHYSICS,4,43,43,RANK2,100,ENEMY_ONE,20,,,,,,,,11103271,
